adressNr;street;postalCode;city;country;search;latitude;longitude;errors
11585;Dessauer Str. 68 - 70;45472;Mülheim a.d.Ruhr;Deutschland;Dessauer Str. 68 - 70, 45472 Mülheim a.d.Ruhr, Deutschland;51.44459;6.94959;
11586;In den Ellern 27;28832;Achim-Uphusen;Deutschland;In den Ellern 27, 28832 Achim-Uphusen, Deutschland;53.03876;8.97426;
11587;Friedrich-Menzefricke-Str. 6;33775;Versmold;Deutschland;Friedrich-Menzefricke-Str. 6, 33775 Versmold, Deutschland;52.03879999999999;8.138567;
11589;Eckenbergstr. 14;45307;Essen;Deutschland;Eckenbergstr. 14, 45307 Essen, Deutschland;51.4619048;7.0671708;
11593;Overweg 12;59494;Soest;Deutschland;Overweg 12, 59494 Soest, Deutschland;51.55636819999999;8.1412768;
11603;Coesterweg 31;59494;Soest;Deutschland;Coesterweg 31, 59494 Soest, Deutschland;51.56171519999999;8.1317899;
11613;Fürstenberger Str. 37;33142;Büren;Deutschland;Fürstenberger Str. 37, 33142 Büren, Deutschland;51.53980929999999;8.5695435;
11615;Parkstr. 32;49080;Osnabrück;Deutschland;Parkstr. 32, 49080 Osnabrück, Deutschland;52.2687564;8.0379677;
11629;Hurlerstr. 109;46459;Rees - Millingen;Deutschland;Hurlerstr. 109, 46459 Rees - Millingen, Deutschland;51.80204999999999;6.40722;
11630;Lilienthalstraße 12;68519;Viernheim;Deutschland;Lilienthalstraße 12, 68519 Viernheim, Deutschland;49.5470689;8.5949524;
11637;Postfach 2426;33054;Paderborn;Deutschland;Postfach 2426, 33054 Paderborn, Deutschland;51.7189205;8.757509299999999;
11643;Auf´m Halskamp 11;49681;Garrel;Deutschland;Auf´m Halskamp 11, 49681 Garrel, Deutschland;52.9495444;8.020746899999999;
11648;Emil-Siepmann Str. 32;59581;Warstein-Belecke;Deutschland;Emil-Siepmann Str. 32, 59581 Warstein-Belecke, Deutschland;51.48743;8.3244933;
11685;Overweg 29;59494;Soest;Deutschland;Overweg 29, 59494 Soest, Deutschland;51.5535003;8.1544518;
11713;Kruppstraße 55;59227;Ahlen;Deutschland;Kruppstraße 55, 59227 Ahlen, Deutschland;51.77314;7.945710000000001;
11729;An der Talle 27 - 31;33102;Paderborn;Deutschland;An der Talle 27 - 31, 33102 Paderborn, Deutschland;51.7495109;8.752026599999999;
11741;Hafervöhde 1;59457;Werl;Deutschland;Hafervöhde 1, 59457 Werl, Deutschland;51.57129;7.91879;
11743;Schifferstr. 26;47059;Duisburg;Deutschland;Schifferstr. 26, 47059 Duisburg, Deutschland;51.4365418;6.7567925;
11751;Daimlerstr. 22-26;89079;Ulm- Donautal;Deutschland;Daimlerstr. 22-26, 89079 Ulm- Donautal, Deutschland;48.36588;9.95219;
11753;Creidlitzer Str. 140;96450;Coburg;Deutschland;Creidlitzer Str. 140, 96450 Coburg, Deutschland;50.22479999999999;10.98309;
11754;Max -Planck-Str. 10;63128;Dietzenbach;Deutschland;Max -Planck-Str. 10, 63128 Dietzenbach, Deutschland;50.0172906;8.7869609;
11765;Osteroder Straße 12;37191;Katlenburg-Lindau;Deutschland;Osteroder Straße 12, 37191 Katlenburg-Lindau, Deutschland;51.68169400000001;10.1017689;
11768;Heinrich - Welken Str. 8;59069;Hamm-Rhynern;Deutschland;Heinrich - Welken Str. 8, 59069 Hamm-Rhynern, Deutschland;51.62386;7.854789999999999;
11779;Robert-Bosch-Breite 11;37079;Göttingen;Deutschland;Robert-Bosch-Breite 11, 37079 Göttingen, Deutschland;51.54733;9.88855;
11786;Hafenstr. 61;59067;Hamm;Deutschland;Hafenstr. 61, 59067 Hamm, Deutschland;51.676612;7.790020800000001;
11803;Friedrich der Große 18;44628;Herne;Deutschland;Friedrich der Große 18, 44628 Herne, Deutschland;51.56262;7.255490000000001;
11807;Gaußstr. 33;30853;Langenhagen;Deutschland;Gaußstr. 33, 30853 Langenhagen, Deutschland;52.4571705;9.7389914;
11840;Wollmarktstraße 121;33098;Paderborn;Deutschland;Wollmarktstraße 121, 33098 Paderborn, Deutschland;51.7090207;8.7276134;
11842;Am Rübenacher Wald 9;56072;Koblenz;Deutschland;Am Rübenacher Wald 9, 56072 Koblenz, Deutschland;50.34717939999999;7.5107656;
11858;Elbestr. 1;49090;Osnabrück;Deutschland;Elbestr. 1, 49090 Osnabrück, Deutschland;52.2935544;8.031106099999999;
11867;In der Mark 2;33378;Rheda-Wiedenbrück;Deutschland;In der Mark 2, 33378 Rheda-Wiedenbrück, Deutschland;51.8626839;8.3221329;
11878;Industriestr. 6;91555;Feuchtwangen;Deutschland;Industriestr. 6, 91555 Feuchtwangen, Deutschland;49.16791;10.31745;
11890;Thomas-Dachser-Allee 2;12529;Schönefeld;Deutschland;Thomas-Dachser-Allee 2, 12529 Schönefeld, Deutschland;52.38534190000001;13.492838;
11894;Thomas-Dachser-Str. 4;90475;Nürnberg;Deutschland;Thomas-Dachser-Str. 4, 90475 Nürnberg, Deutschland;49.3865414;11.1661486;
11895;Rungedamm 34;21035;Hamburg;Deutschland;Rungedamm 34, 21035 Hamburg, Deutschland;53.5023116;10.1068791;
11897;Ludwig-Erhardt-Str. 42;28197;Bremen;Deutschland;Ludwig-Erhardt-Str. 42, 28197 Bremen, Deutschland;53.09516;8.69897;
11908;Flutstr. 63;47533;Kleve;Deutschland;Flutstr. 63, 47533 Kleve, Deutschland;51.79709;6.13915;
11918;Friedrich-Menzefricke-Str. 16 - 18;33775;Versmold;Deutschland;Friedrich-Menzefricke-Str. 16 - 18, 33775 Versmold, Deutschland;52.0383903;8.1385623;
11919;Grevener Damm 238-244;48282;Emsdetten;Deutschland;Grevener Damm 238-244, 48282 Emsdetten, Deutschland;52.15452;7.554729999999998;
11924;Thomas-Dachser-Str. 7-9;32107;Bad Salzuflen;Deutschland;Thomas-Dachser-Str. 7-9, 32107 Bad Salzuflen, Deutschland;52.05512;8.67482;
11926;Albert Einstein Straße 13;53501;Grafschaft Gelsdorf;Deutschland;Albert Einstein Straße 13, 53501 Grafschaft Gelsdorf, Deutschland;50.56863999999999;7.02748;
11937;Carl-Legien-Str. 22;63073;Offenbach;Deutschland;Carl-Legien-Str. 22, 63073 Offenbach, Deutschland;50.0841627;8.8374768;
11938;Kemptener Str. 9;30855;Langenhagen;Deutschland;Kemptener Str. 9, 30855 Langenhagen, Deutschland;52.45091;9.70957;
11946;Aug der Kaiserbitz 3;51147;Köln;Deutschland;Aug der Kaiserbitz 3, 51147 Köln, Deutschland;50.8824279;7.097604599999999;
11947;Am Hochofen 50-64;41460;Neuss;Deutschland;Am Hochofen 50-64, 41460 Neuss, Deutschland;51.22407;6.71479;
11948;CargoCity Süd, Gebäude 563;60549;Frankfurt am Main- Flughafen;Deutschland;CargoCity Süd, Gebäude 563, 60549 Frankfurt am Main- Flughafen, Deutschland;50.0249879;8.5805154;
11954;Brehnaer Str. 4;06188;Landsberg;Deutschland;Brehnaer Str. 4, 06188 Landsberg, Deutschland;51.5363992;12.1669567;
11955;Steinbeisstr. 21;70806;Kornwestheim;Deutschland;Steinbeisstr. 21, 70806 Kornwestheim, Deutschland;48.87729;9.18013;
11957;Carl-Bertelsmann Str. 161;33311;Gütersloh;Deutschland;Carl-Bertelsmann Str. 161, 33311 Gütersloh, Deutschland;51.9070284;8.408832499999999;
11958;Reeser Str. 22;46459;Rees;Deutschland;Reeser Str. 22, 46459 Rees, Deutschland;51.7991113;6.4199924;
11987;Karl Dischinger Str. 100;79238;Ehrenkirchen;Deutschland;Karl Dischinger Str. 100, 79238 Ehrenkirchen, Deutschland;47.92078;7.72913;
12000;Zollerstr. 7;86850;Aretsried / Fischach;Deutschland;Zollerstr. 7, 86850 Aretsried / Fischach, Deutschland;48.30892550000001;10.6536351;
12014;Chemnitzer Str. 24;47441;Moers;Deutschland;Chemnitzer Str. 24, 47441 Moers, Deutschland;51.4389738;6.6504299;
12015;Am Silberg 14;59494;Soest;Deutschland;Am Silberg 14, 59494 Soest, Deutschland;51.55887000000001;8.14013;
12024;Hüchtchenweg 1;59597;Erwitte;Deutschland;Hüchtchenweg 1, 59597 Erwitte, Deutschland;51.59643;8.341000000000001;
12047;Dickestraße 23;42369;Wuppertal;Deutschland;Dickestraße 23, 42369 Wuppertal, Deutschland;51.2267283;7.2095273;
12123;Kammerratsheide 66;33609;Bielefeld;Deutschland;Kammerratsheide 66, 33609 Bielefeld, Deutschland;52.0415481;8.585553700000002;
12131;Eduard-Pestel-Str. 15;49080;Osnabrück;Deutschland;Eduard-Pestel-Str. 15, 49080 Osnabrück, Deutschland;52.2474547;8.0310635;
12164;Bühlwiesenweg 15;72221;Haiterbach;Deutschland;Bühlwiesenweg 15, 72221 Haiterbach, Deutschland;48.50463999999999;8.6315;
20199;Franz-Rennefeld-Weg 8;40472;Düsseldorf - Rath;Deutschland;Franz-Rennefeld-Weg 8, 40472 Düsseldorf - Rath, Deutschland;51.2768667;6.7972486;
20200;Metallstr. 15;42551;Velbert;Deutschland;Metallstr. 15, 42551 Velbert, Deutschland;51.3404904;7.0561927;
20201;Pasewalker Str. 5-8;17358;Torgelow;Deutschland;Pasewalker Str. 5-8, 17358 Torgelow, Deutschland;53.6286488;14.0145408;
20202;Junker Str. 26;16816;Neuruppin;Deutschland;Junker Str. 26, 16816 Neuruppin, Deutschland;52.9164361;12.7865968;
20203;Hofmühlstr. 54;83071;Stephanskirchen;Deutschland;Hofmühlstr. 54, 83071 Stephanskirchen, Deutschland;47.8498837;12.1571933;
21089;Am Velper Mühlenbach 8;49492;Westerkappeln;Deutschland;Am Velper Mühlenbach 8, 49492 Westerkappeln, Deutschland;52.2640994;7.869994499999999;
21092;Am Reitenberg;99817;Eisenach Neukirchen;Deutschland;Am Reitenberg, 99817 Eisenach Neukirchen, Deutschland;51.0426254;10.324892;
21098;Oberer Hilgenstock;34414;Warburg;Deutschland;Oberer Hilgenstock, 34414 Warburg, Deutschland;51.4965185;9.1517617;
21099;Westkirchener Str. 73;59320;Ennigerloh;Deutschland;Westkirchener Str. 73, 59320 Ennigerloh, Deutschland;51.84611;8.02582;
21254;Coesterweg 43;59494;Soest;Deutschland;Coesterweg 43, 59494 Soest, Deutschland;51.5610584;8.1339163;
21629;Wollenberger Straße 2;13053;Berlin;Deutschland;Wollenberger Straße 2, 13053 Berlin, Deutschland;52.5479377;13.5126937;
22003;Reichelsheimer Str. 1;55268;Nieder-Olm;Deutschland;Reichelsheimer Str. 1, 55268 Nieder-Olm, Deutschland;49.91505;8.18478;
22007;Bunsenstr. 16-18;64293;Darmstadt;Deutschland;Bunsenstr. 16-18, 64293 Darmstadt, Deutschland;49.88950999999999;8.62387;
22044;Lüner Rennbahn;21339;Lüneburg;Deutschland;Lüner Rennbahn, 21339 Lüneburg, Deutschland;53.2752889;10.4226589;
22052;Robert-Bosch-Straße 1;59199;Bönen;Deutschland;Robert-Bosch-Straße 1, 59199 Bönen, Deutschland;51.61006;7.759999999999999;
22054;Miesenheimer Weg 11;56575;Weißenthurm;Deutschland;Miesenheimer Weg 11, 56575 Weißenthurm, Deutschland;50.41072759999999;7.4471709;
22055;Braamer Straße 32;59071;Hamm (Werries);Deutschland;Braamer Straße 32, 59071 Hamm (Werries), Deutschland;51.6878077;7.8904543;
22057;Ludwig - Erhardt - Str. 31;28197;Bremen;Deutschland;Ludwig - Erhardt - Str. 31, 28197 Bremen, Deutschland;53.08809;8.711269999999999;
22062;Hollabergweg;12277;Berlin;Deutschland;Hollabergweg, 12277 Berlin, Deutschland;52.4193757;13.3837963;
22065;Äußere Wiener Str. 19;93063;Regensburg;Deutschland;Äußere Wiener Str. 19, 93063 Regensburg, Deutschland;49.0142299;12.1613231;
22067;Overweg 20;59494;Soest;Deutschland;Overweg 20, 59494 Soest, Deutschland;51.5554935;8.1461124;
22077;Königsplatz 3;59494;Soest-Bergede;Deutschland;Königsplatz 3, 59494 Soest-Bergede, Deutschland;51.5279239;8.1669099;
22111;Lustenauerstr. 51;6971;Hard;Österreich;Lustenauerstr. 51, 6971 Hard, Österreich;47.4686847;9.671536999999999;
22119;Kirchhoffstr. 5;90431;Nürnberg;Deutschland;Kirchhoffstr. 5, 90431 Nürnberg, Deutschland;49.4309473;11.0322761;
22133;Gewerbestraße 10;04758;Oschatz;Deutschland;Gewerbestraße 10, 04758 Oschatz, Deutschland;51.32429;13.11405;
22138;Am Sauerbrunnen 25-33;55767;Schwollen;Deutschland;Am Sauerbrunnen 25-33, 55767 Schwollen, Deutschland;49.70753999999999;7.16871;
22139;Burgunder Str. 49 - 51;40549;Düsseldorf;Deutschland;Burgunder Str. 49 - 51, 40549 Düsseldorf, Deutschland;51.22599;6.70077;
22141;Friedrich Ruschitzka Str. 1;74939;Zuzenhausen;Deutschland;Friedrich Ruschitzka Str. 1, 74939 Zuzenhausen, Deutschland;49.3016626;8.8187517;
22147;Halskestr. 15;40880;Ratingen;Deutschland;Halskestr. 15, 40880 Ratingen, Deutschland;51.30445;6.83041;
22149;Zum Breiten Ohl 28;59846;Sundern-Stemel;Deutschland;Zum Breiten Ohl 28, 59846 Sundern-Stemel, Deutschland;51.352759;7.992792499999999;
22173;Walther-Blohm-Str. 19-20;21279;Wenzendorf;Deutschland;Walther-Blohm-Str. 19-20, 21279 Wenzendorf, Deutschland;53.3632536;9.8044732;
22183;Haller Str. 10;74535;Mainhardt;Deutschland;Haller Str. 10, 74535 Mainhardt, Deutschland;49.08506;9.613769999999999;
22191;Elsässer Str. 14;79189;Bad Krotzingen;Deutschland;Elsässer Str. 14, 79189 Bad Krotzingen, Deutschland;47.9438;7.680899999999999;
22227;Fuggerstr. 11;33689;Bielefeld;Deutschland;Fuggerstr. 11, 33689 Bielefeld, Deutschland;51.9419575;8.5667277;
22229;Thomas-Dachser-Str. 1;78256;Steißlingen;Deutschland;Thomas-Dachser-Str. 1, 78256 Steißlingen, Deutschland;47.7756536;8.9081529;
22232;Rolandsweg 3-7;37520;Osterode;Deutschland;Rolandsweg 3-7, 37520 Osterode, Deutschland;51.74943;10.22567;
22236;Denekamper Str. 21;48529;Nordhorn;Deutschland;Denekamper Str. 21, 48529 Nordhorn, Deutschland;52.4287723;7.062497899999999;
22241;Am Nienhaushof 1;47139;Duisburg;Deutschland;Am Nienhaushof 1, 47139 Duisburg, Deutschland;51.47636439999999;6.7258631;
22246;Im Trottenacker 2;8353;Elgg;Schweiz;Im Trottenacker 2, 8353 Elgg, Schweiz;47.48960140000001;8.873941799999999;
22249;Karl-Benz-Str. 13;78467;Konstanz;Deutschland;Karl-Benz-Str. 13, 78467 Konstanz, Deutschland;47.676664;9.1467913;
22252;Johann-Reineke-Str. 16;33154;Salzkotten;Deutschland;Johann-Reineke-Str. 16, 33154 Salzkotten, Deutschland;51.67279;8.592839999999999;
22255;ul. Kaliska 11 c;63-510;Mikstat;Polen;ul. Kaliska 11 c, 63-510 Mikstat, Polen;51.533676;17.972758;
22257;Auf dem Brümmer 5;44149;Dortmund;Deutschland;Auf dem Brümmer 5, 44149 Dortmund, Deutschland;51.5072027;7.4081946;
22260;Industriestr. 7;99334;Amt Wachsenburg;Deutschland;Industriestr. 7, 99334 Amt Wachsenburg, Deutschland;50.88259;10.92899;
22261;Industriestr. 1;56766;Ulmen;Deutschland;Industriestr. 1, 56766 Ulmen, Deutschland;50.2245778;6.9700643;
22262;Bader-Moser-Str. 30;4563;Micheldorf;Österreich;Bader-Moser-Str. 30, 4563 Micheldorf, Österreich;47.8759925;14.1289503;
22270;Weseker Weg 47;46354;Südlohn;Deutschland;Weseker Weg 47, 46354 Südlohn, Deutschland;51.93539999999999;6.86885;
22271;Industriestr. 20;21354;Bleckede;Deutschland;Industriestr. 20, 21354 Bleckede, Deutschland;53.2854774;10.7366204;
22277;Renta 5;63-522;Kraszewice;Polen;Renta 5, 63-522 Kraszewice, Polen;51.51667020000001;18.1971614;
22278;Wembkenstraße 16;45884;Gelsenkirchen;Deutschland;Wembkenstraße 16, 45884 Gelsenkirchen, Deutschland;51.49773399999999;7.091821899999999;
22288;Overweg 5;59494;Soest;Deutschland;Overweg 5, 59494 Soest, Deutschland;51.5564482;8.1381608;
22294;An der Rheinberger Heide 11;47495;Rheinberg;Deutschland;An der Rheinberger Heide 11, 47495 Rheinberg, Deutschland;51.5454689;6.5707635;
22295;Sperberstraße 21;45894;Gelsenkirchen;Deutschland;Sperberstraße 21, 45894 Gelsenkirchen, Deutschland;51.5862365;7.036629500000001;
22296;Kasseler Str. 34;35683;Dillenburg;Deutschland;Kasseler Str. 34, 35683 Dillenburg, Deutschland;50.7515935;8.2774591;
22297;Milchstraße 15;42553;Velbert;Deutschland;Milchstraße 15, 42553 Velbert, Deutschland;51.3107493;7.0637691;
