AdressNr;Strasse;PLZ;Ort;Land;latitude;longitude;Kontoname
10291;von Siemenstr. 14;59757;Arnsberg;Deutschland;51,46408;7,94214;Cosack GmbH & Co. KG
10306;Eichenkamp;59759;Arnsberg;Deutschland;51,4320392;8,0128324;META-Regalbau GmbH & Co. KG
10329;Kapellenstrasse 130;33378;Rheda-Wiedenbrück-Lintel;Deutschland;51,8419914;8,3684788;S.u. M. GmbH & Co. KG
10357;Thomas-Dachser-Str. 1;66802;Überherrn;Deutschland;49,26511;6,73143;DACHSER SE
10436;Westfaliastr. 191;44147;Dortmund;Deutschland;51,5228797;7,4373587;Kühne + Nagel (AG & Co.) KG
10451;Mercklinghausstr. 13-17;59557;Lippstadt;Deutschland;51,65878;8,34321;Brülle & Schmeltzer GmbH & Co. KG
10515;An der Wethmarheide 7;44536;Lünen;Deutschland;51,6019207;7,4842995;BennLog - Bennemann Logistik GmbH
10567;Schnellweg 14- 18;32257;Bünde;Deutschland;52,2055311;8,536783;Rahning GmbH & Co.KG
10610;Isringhausen-Ring 58;32657;Lemgo;Deutschland;52,02391;8,87477;Isringhausen GmbH & Co. KG
10610;Isringhausen-Ring 58;32657;Lemgo;Deutschland;51,92997;8,09489;Isringhausen GmbH & Co. KG
10646;Hohewardstr. 342;45699;Herten;Deutschland;51,55598;7,15691;BURGMER
10646;Hohewardstr. 342;45699;Herten;Deutschland;50,8281024;7,4305514;BURGMER
10693;Hunteburger Str. 32;49401;Damme;Deutschland;52,5166493;8,201537;Grimme Landmaschinenfabrik GmbH & Co. KG
10699;Fritz-Honsel-Straße 30;59872;Meschede;Deutschland;51,34793;8,2913551;Honsel AG
10700;Hansastr. 120;59425;Unna;Deutschland;51,5407991;7,6641735;Stromag AG
10701;Röntgenstraße 28;57439;Attendorn;Deutschland;51,1451825;7,9210238;Josten & Bock GmbH
10702;Auf dem Tigge 10;59269;Beckum;Deutschland;51,75883;8,08654;Berlinghoff GmbH
10705;Frankfurter Straße 80 - 88;36043;Fulda;Deutschland;50,5346665;9,6760788;Wagner GmbH & Co. KG
10708;Graf-Zeppelin-Str. 11;56479;Liebenscheid;Deutschland;50,7043296;8,0811498;Fuhrländer AG
10713;Hüttenstr. 130-138;50170;Kerpen;Deutschland;50,89502;6,65284;KOZA Feinkost GmbH
10723;Damaschkestraße 14;59557;Lippstadt;Deutschland;51,6710599;8,3740651;Norgel-Elektro-GmbH
10724;Ferdinant Str. 7;59555;Lippstadt;Deutschland;51,6727796;8,3517331;Mareike Remer
10955;Rheinstr. 12;35260;Stadtallendorf;Deutschland;50,8202825;9,0001429;Ferrero oHG mbH
11284;Germaniastr. 60;44379;Dortmund - Marten;Deutschland;51,5107398;7,372349;Kraftverkehr Nagel GmbH & Co. KG
11285;Am Neuen Baum 5 - 9;59229;Ahlen;Deutschland;51,7466718;7,9029199;JOPA Johann Panick GmbH & Co KG
11287;Völlinghauser Str. 44;59609;Anröchte;Deutschland;51,5710942;8,3210489;Brand KG
11319;Rigaring 27;59494;Soest;Deutschland;51,56637;8,12691;Nordwest-Getränke GmbH & Co.KG
11331;Brockhauser Weg 80 - 82;58507;Lüdenscheid;Deutschland;51,2406188;7,6060675;ERCO Leuchten GmbH
11334;Beckumer Str. 33-35;59229;Ahlen;Deutschland;51,76665;7,90401;Franz Kaldewei GmbH & Co. KG
11340;Hafenstr. 83;59067;Hamm;Deutschland;51,67664;7,78257;Brökelmann & Co.
11366;Overweg 24;59494;Soest;Deutschland;51,5532638;8,1538138;BDW Technologies Soest GmbH
11400;Alleestr. 1;53757;St. Augustin;Deutschland;50,78308;7,22824;Linser Industrie Service GmbH
11421;Nickelstr. 29;33378;Rheda-Wiedenbrück;Deutschland;51,83409;8,3667;Kahmen TransCargo GmbH
11423;Rungedamm 37;21035;Hamburg;Deutschland;53,4958548;10,1125581;ETG
11428;Westerwieher Str. 340;33397;Rietberg;Deutschland;51,8187;8,5294;Rehage GmbH & Co
11449;Zeiss-Str. 2;23626;Ratekau;Deutschland;53,9605749;10,719162;Ferdinand Sengelmann Söhne GmbH & Co. KG
11452;Jülicher Straße 177;52070;Aachen;Deutschland;50,7837614;6,10732;Zentis GmbH & Co. KG
11455;Ringstr. 99;32427;Minden;Deutschland;52,29885;8,90597;Melitta GmbH & Co. KG
11459;Katharinental;53773;Hennef/Sieg;Deutschland;50,8004113;7,3358145;Eckes-Granini Deutschland GmbH
11479;Reisholzer Bahnstr. 33;40599;Düsseldorf - Reisholz;Deutschland;51,1810973;6,8553181;L.W. Cretschmar GmbH & Co. KG
11491;Vogelweiherstraße 1 - 15;90441;Nürnberg;Deutschland;49,4234041;11,0713656;Siemens AG
11504;Rustigestr. 11;59457;Werl;Deutschland;51,56098;7,90723;Standard-Metallwerke GmbH
11522;Talstr. 12;89584;Ehingen;Deutschland;48,2473495;9,57405;ANTON SCHLECKER
11531;Am Damm 26;28870;Ottersberg;Deutschland;53,12147;9,14352;Buss GmbH & Co. KG
11541;Winkelsweg 182 - 184;40764;Langenfeld;Deutschland;51,12878;6,96995;Spar - Handels AG
11547;Doctor-Berns-Str. 23;47441;Moers;Deutschland;51,46069;6,61206;Onken GmbH
11550;Brokstraße 77;33547;Bielefeld;Deutschland;27,7721675;-82,1496049;Handelsgesellschaft Sparrenberg mbH
11551;Grünen Weg 1 - 3;52146;Würselen;Deutschland;50,8292127;6,1645826;Adam Offergeld Spedition
11555;Bahnhofsstr. 4;49201;Dissen;Deutschland;52,1141403;8,1956704;HOMANN Feinkost GmbH
11580;Ochtruper Str. 165;48599;Gronau (Westf.);Deutschland;52,2039511;7,0667197;K+K Klaas & Kock B.V. & Co. KG
11585;Dessauer Str. 68 - 70;45472;Mülheim a.d.Ruhr;Deutschland;51,44459;6,94959;Lekkerland Süd-Ost-West
11586;In den Ellern 27;28832;Achim-Uphusen;Deutschland;53,03876;8,97426;Vitakraft pet care GmbH & Co. KG
11587;Friedrich-Menzefricke-Str. 6;33775;Versmold;Deutschland;52,0388;8,138567;Kraftverkehr Nagel SE & Co. KG
11589;Eckenbergstr. 14;45307;Essen;Deutschland;51,4619048;7,0671708;ALDI GmbH & Co. KG Essen
11593;Overweg 12;59494;Soest;Deutschland;51,5563682;8,1412768;Massong KG
11603;Coesterweg 31;59494;Soest;Deutschland;51,5617152;8,1317899;Kuchenmeister GmbH
11613;Fürstenberger Str. 37;33142;Büren;Deutschland;51,5398;8,56951;Bürener Maschinenfabrik GmbH
11615;Parkstr. 32;49080;Osnabrück;Deutschland;52,2687564;8,0379677;Ihr Platz GmbH + Co. KG
11629;Hurlerstr. 109;46459;Rees - Millingen;Deutschland;51,80205;6,40722;Bernhard Hövelmann GmbH & Co. KG
11630;Lilienthalstraße 12;68519;Viernheim;Deutschland;49,54707;8,59495;Pfenning Logistik GmbH
11637;Postfach 2426;33054;Paderborn;Deutschland;25,9126818;-80,2432839;STUTE Nahrungsmittelwerke GmbH & Co. KG
11643;Auf´m Halskamp 11;49681;Garrel;Deutschland;52,9495444;8,0207469;Lieken Brot- und Backwaren GmbH
11648;Emil-Siepmann Str. 32;59581;Warstein-Belecke;Deutschland;51,48743;8,3244933;AEG Power Supply System GmbH
11685;Overweg 29;59494;Soest;Deutschland;51,5535003;8,1544518;HASBRO Deutschland GmbH
11713;Kruppstraße 55;59227;Ahlen;Deutschland;51,77314;7,94571;LR Health and Beauty System GmbH
11729;An der Talle 27 - 31;33102;Paderborn;Deutschland;51,7495;8,75198;Benteler Automobiltechnik
11741;Hafervöhde 1;59457;Werl;Deutschland;51,57129;7,91879;Werneke Spedition GmbH
11743;Schifferstr. 26;47059;Duisburg;Deutschland;51,4365418;6,7567925;Lehnkering
11751;Daimlerstr. 22-26;89079;Ulm- Donautal;Deutschland;48,36588;9,95219;Seifert Logistics GmbH
11753;Creidlitzer Str. 140;96450;Coburg;Deutschland;50,2248;10,98309;Schenker Deutschland AG
11754;Max -Planck-Str. 10;63128;Dietzenbach;Deutschland;50,0056333;8,7804248;HASBRO Deutschland GmbH
11765;Osteroder Straße 12;37191;Katlenburg-Lindau;Deutschland;51,681694;10,1017689;Katlenburger Kellerei GmbH & Co. KG
11768;Heinrich - Welken Str. 8;59069;Hamm-Rhynern;Deutschland;51,62386;7,85479;CHEMAL GmbH & Co. KG
11779;Robert-Bosch-Breite 11;37079;Göttingen;Deutschland;51,54733;9,88855;Friedrich Zufall GmbH & Co. KG
11786;Hafenstr. 61;59067;Hamm;Deutschland;51,676612;7,7900208;Solle Spedition GmbH
11803;Friedrich der Große 18;44628;Herne;Deutschland;51,56262;7,25549;DACHSER SE
11807;Gaußstr. 33;30853;Langenhagen;Deutschland;52,4571705;9,7389914;Bahlsen GmbH & Co. KG
11840;Wollmarktstraße 121;33098;Paderborn;Deutschland;51,7090207;8,7276134;Wellemöbel GmbH
11842;Am Rübenacher Wald 9;56072;Koblenz;Deutschland;50,3471794;7,5107656;DACHSER SE
11858;Elbestr. 1;49090;Osnabrück;Deutschland;52,2935544;8,0311061;Hellmann Worldwide Logistics
11867;In der Mark 2;33378;Rheda-Wiedenbrück;Deutschland;51,8626839;8,3221329;Tönnies B. & C. Fleischwerk
11878;Industriestr. 6;91555;Feuchtwangen;Deutschland;49,16791;10,31745;Vereinigte Papierwarenfabrik GmbH
11890;Thomas-Dachser-Allee 2;12529;Schönefeld;Deutschland;52,3853419;13,492838;DACHSER SE
11894;Thomas-Dachser-Str. 4;90475;Nürnberg;Deutschland;49,3865414;11,1661486;DACHSER SE
11895;Rungedamm 34;21035;Hamburg;Deutschland;53,5023116;10,1068791;DACHSER SE
11897;Ludwig-Erhardt-Str. 42;28197;Bremen;Deutschland;53,09516;8,69897;DACHSER SE
11908;Flutstr. 63;47533;Kleve;Deutschland;51,79709;6,13915;Sweeren Transport GmbH & Co.KG
11918;Friedrich-Menzefricke-Str. 16 - 18;33775;Versmold;Deutschland;52,03835;8,13851;arvato logistics services
11919;Grevener Damm 238-244;48282;Emsdetten;Deutschland;52,15452;7,55473;Rhein-West Güterverkehr GmbH
11924;Thomas-Dachser-Str. 7-9;32107;Bad Salzuflen;Deutschland;52,05512;8,67482;DACHSER SE
11926;Albert Einstein Straße 13;53501;Grafschaft Gelsdorf;Deutschland;50,56864;7,02748;Soendgen Keramik GmbH
11937;Carl-Legien-Str. 22;63073;Offenbach;Deutschland;50,0841627;8,8374768;DACHSER SE
11938;Kemptener Str. 9;30855;Langenhagen;Deutschland;52,45091;9,70957;DACHSER SE
11946;Aug der Kaiserbitz 3;51147;Köln;Deutschland;50,8824279;7,0976046;DACHSER SE
11947;Am Hochofen 50-64;41460;Neuss;Deutschland;51,22407;6,71479;DACHSER SE
11948;CargoCity Süd, Gebäude 563;60549;Frankfurt am Main- Flughafen;Deutschland;50,0249879;8,5805154;DACHSER SE
11954;Brehnaer Str. 4;06188;Landsberg;Deutschland;51,53639;12,16693;DACHSER SE
11955;Steinbeisstr. 21;70806;Kornwestheim;Deutschland;48,87729;9,18013;DACHSER SE
11957;Carl-Bertelsmann Str. 161;33311;Gütersloh;Deutschland;51,9071413;8,4096248;Mohn Media Mohndruck
11958;Reeser Str. 22;46459;Rees;Deutschland;51,79911;6,41999;Wwe. Theodor Hövelmann GmbH & Co. KG
11987;Karl Dischinger Str. 100;79238;Ehrenkirchen;Deutschland;47,92078;7,72913;Karl Dischinger GmbH
12000;Zollerstr. 7;86850;Aretsried / Fischach;Deutschland;48,3089255;10,6536351;Culina Logistics GmbH
12014;Chemnitzer Str. 24;47441;Moers;Deutschland;51,4389618;6,650442;Edeka Handelsgesellschaft Rhein-Ruhr mbH
12015;Am Silberg 14;59494;Soest;Deutschland;51,55887;8,14013;Legrand GmbH
12024;Hüchtchenweg 1;59597;Erwitte;Deutschland;51,59643;8,341;Wittekind Portlandzementwerk
12047;Dickestraße 23;42369;Wuppertal;Deutschland;51,2267117;7,209511;Draka Deutschland GmbH
12123;Kammerratsheide 66;33609;Bielefeld;Deutschland;52,0415481;8,5855537;Cornelsen Verlagskontor GmbH
12131;Eduard-Pestel-Str. 15;49080;Osnabrück;Deutschland;52,24745;8,03108;Roncadin GmbH
12164;Bühlwiesenweg 15;72221;Haiterbach;Deutschland;48,50464;8,6315;Alfred Schuon GmbH
20199;Franz-Rennefeld-Weg 8;40472;Düsseldorf - Rath;Deutschland;51,2768667;6,7972486;Obi Bau &Heimwerkermarkt GmbH
20200;Metallstr. 15;42551;Velbert;Deutschland;51,3404904;7,0561927;Obi Bau&Heimwerkermärkte 412
20201;Pasewalker Str. 5-8;17358;Torgelow;Deutschland;53,6286488;14,0145408;Obi Management 344
20202;Junker Str. 26;16816;Neuruppin;Deutschland;52,91533;12,7899201;Obi Bau & Heimwerkermarkt GmbH & Co. KG Finsterwalde
20203;Hofmühlstr. 54;83071;Stephanskirchen;Deutschland;47,8498837;12,1571933;Obi Bau & Heimwerkermarkt 180
21089;Am Velper Mühlenbach 8;49492;Westerkappeln;Deutschland;52,2640994;7,8699945;DSV Road GmbH
21092;Am Reitenberg;99817;Eisenach Neukirchen;Deutschland;51,0426254;10,324892;Georg Reuss
21098;Oberer Hilgenstock;34414;Warburg;Deutschland;51,4965185;9,1517617;Warburger Nahrungsmittelwerke
21099;Westkirchener Str. 73;59320;Ennigerloh;Deutschland;51,84611;8,02582;Arvato Distribution GmbH
21254;Coesterweg 43;59494;Soest;Deutschland;51,5610584;8,1339163;WAG-Kurier
21629;Wollenberger Straße 2;13053;Berlin;Deutschland;52,5476336;13,512879;Spedition AdamCo
22003;Reichelsheimer Str. 1;55268;Nieder-Olm;Deutschland;49,91505;8,18478;Tracoe Medical GmbH
22007;Bunsenstr. 16-18;64293;Darmstadt;Deutschland;49,88951;8,62387;Simon Spedition GmbH
22044;Lüner Rennbahn;21339;Lüneburg;Deutschland;53,2752889;10,4226589;Tofutown Lüneburger Heide GmbH
22052;Robert-Bosch-Straße 1;59199;Bönen;Deutschland;51,61006;7,76;Dressmart GmbH
22054;Miesenheimer Weg 11;56575;Weißenthurm;Deutschland;50,41076;7,44725;Matthias Kircher Baustoff GmbH & Co. KG
22055;Braamer Straße 32;59071;Hamm (Werries);Deutschland;51,6878282;7,8904527;Groß- und Einzelhandel
22057;Ludwig - Erhardt - Str. 31;28197;Bremen;Deutschland;53,08809;8,71127;Tank Harders Kühllogistik GmbH
22062;Hollabergweg;12277;Berlin;Deutschland;52,4193757;13,3837963;Firstline Logistik GmbH
22065;Äußere Wiener Str. 19;93063;Regensburg;Deutschland;49,0142299;12,1613231;Imex Handels GmbH
22067;Overweg 20;59494;Soest;Deutschland;51,5554935;8,1461124;Hofmann GmbH
22077;Königsplatz 3;59494;Soest-Bergede;Deutschland;51,527915;8,1669123;CGT Kühltransporte GmbH
22111;Lustenauerstr. 51;6971;Hard;Österreich;47,4686847;9,671537;Alpla Werke
22119;Kirchhoffstr. 5;90431;Nürnberg;Deutschland;49,4310405;11,032044;STL Schäfer Logistik GmbH
22133;Gewerbestraße 10;04758;Oschatz;Deutschland;51,32429;13,11405;Guhr Spedition GmbH
22138;Am Sauerbrunnen 25-33;55767;Schwollen;Deutschland;49,70754;7,16871;Hochwald-Sprudel Schupp GmbH
22139;Burgunder Str. 49 - 51;40549;Düsseldorf;Deutschland;51,22599;6,70077;Sels Öl + Fett GmbH & Co. KG
22141;Friedrich Ruschitzka Str. 1;74939;Zuzenhausen;Deutschland;49,3016626;8,8187517;Leifheit AG
22147;Halskestr. 15;40880;Ratingen;Deutschland;51,30445;6,83041;White Drive Products GmbH
22149;Zum Breiten Ohl 28;59846;Sundern-Stemel;Deutschland;51,352759;7,9927925;Wundi GmbH
22173;Walther-Blohm-Str. 19-20;21279;Wenzendorf;Deutschland;53,3632881;9,8049719;Lidl GmbH & Co. KG
22183;Haller Str. 10;74535;Mainhardt;Deutschland;49,08506;9,61377;Friedrich Reck GmbH
22191;Elsässer Str. 14;79189;Bad Krotzingen;Deutschland;47,9438;7,6809;Schenker Deutschland AG
22227;Fuggerstr. 11;33689;Bielefeld;Deutschland;51,9419575;8,5667277;Marktkauf Logistik GmbH
22229;Thomas-Dachser-Str. 1;78256;Steißlingen;Deutschland;47,7756536;8,9081529;DACHSER SE
22232;Rolandsweg 3-7;37520;Osterode;Deutschland;51,74943;10,22567;Obermann Speditions-GmbH
22236;Denekamper Str. 21;48529;Nordhorn;Deutschland;52,4287723;7,0624979;Rigterink Logistik GmbH & Co. KG
22241;Am Nienhaushof 1;47139;Duisburg;Deutschland;51,4763644;6,7258631;trans-o-flex
22246;Im Trottenacker 2;8353;Elgg;Schweiz;47,4896014;8,8739418;PALETTAG AG
22249;Karl-Benz-Str. 13;78467;Konstanz;Deutschland;47,6770635;9,1468201;Obi Bau & Heimwerkermarkt 474
22252;Johann-Reineke-Str. 16;33154;Salzkotten;Deutschland;51,67279;8,59284;Franz Vieth
22255;ul. Kaliska 11 c;63-510;Mikstat;Polen;51,533676;17,972758;Rurex P.P.H.U
22257;Auf dem Brümmer 5;44149;Dortmund;Deutschland;51,5072027;7,4081946;DOTRAM GMBH
22260;Industriestr. 7;99334;Amt Wachsenburg;Deutschland;50,88259;10,92899;DACHSER SE
22261;Industriestr. 1;56766;Ulmen;Deutschland;50,2245778;6,9700643;SPEDLOG Lagerlogistik GmbH
22262;Bader-Moser-Str. 30;4563;Micheldorf;Österreich;47,8759925;14,1289503;Hellweg Baumärkte
22270;Weseker Weg 47;46354;Südlohn;Deutschland;51,9354;6,86885;Almar Paletten GmbH
22271;Industriestr. 20;21354;Bleckede;Deutschland;53,2854796;10,7366143;Palettenservice Konau
22277;Renta 5;63-522;Kraszewice;Polen;51,4995432;18,2280711;PH Drew-Plast
22278;Wembkenstraße 16;45884;Gelsenkirchen;Deutschland;51,497734;7,0918219;Stauffenberg Nachf. GmbH & Co
22288;Overweg 5;59494;Soest;Deutschland;51,5564482;8,1381608;Christoph Meyer Palettenhandel &
22294;An der Rheinberger Heide 11;47495;Rheinberg;Deutschland;51,5454689;6,5707635;ALDI GmbH & Co. KG
22295;Sperberstraße 21;45894;Gelsenkirchen;Deutschland;51,5862365;7,0366295;Toom Bau Markt GmbH
22296;Kasseler Str. 34;35683;Dillenburg;Deutschland;50,7515935;8,2774591;Obi Heimwerkermarkt GmbH
22297;Milchstraße 15;42553;Velbert;Deutschland;51,3107493;7,0637691;BLF Logifood
22304;Grüssenweg 4;4133;Pratteln;Schweiz;47,5265527;7,6906875;FT Logistik AG
22305;Michael-Faist-Str. 19;86381;Krumbach;Deutschland;48,24932;10,35469;Krumbacher Speditions GmbH
22306;Goldbinnen 11;31840;Hessisch-Oldendorf;Deutschland;52,1383205;9,2958598;Trucktec Speditions GmbH
22307;Max-Eyth-Straße 26;72270;Baiersbronn-Mitteltal;Deutschland;48,5238269;8,3125673;Braun Internationale
22308;Blankenhorststr. 6;32339;Espelkamp / Isenstedt;Deutschland;52,346422;8,6564326;Friedrich Kaatz
22309;Ernst-Böhme-Str. 27;38112;Braunschweig;Deutschland;52,30961;10,48718;STS nationale und internationale
22310;Im Astenfeld 1;4490;St. Florian;Österreich;48,2268243;14,3955067;Franz Hofmann & Neffen
22314;Industriestr. 10 - 24;37235;Hessisch Lichtenau;Deutschland;51,18972;9,72352;format Tresorbau GmbH & Co. KG
22317;Waldstr. 9;74731;Wallduern;Deutschland;49,572169;9,3598275;Braun GmbH
22318;Im Westring 9;75180;Pforzheim;Deutschland;48,8591728;8,658609;PROVERTHA Connectors
22320;Thomas Esser Str. 22;53879;Euskirchen;Deutschland;50,64592;6,79225;DHL Solutions GmbH
22322;Plant AP - Box 510 Dreieich;NE270QW;N.Tyneside;Vereinigtes Königreich;50,0294877;8,6949231;Procter & Gamble
22331;Joseph-Joos-Weg 15;59519;Möhnesee;Deutschland;51,48221;8,12665;Moritz Holzkonzepte
22332;Tyrova 2075;256 01;Benesov;Tschechische Republik;49,7813783;14,6862303;ZLATÁ VEJCE a.s.
22335;Hauptstr. 2;85135;Petersbusch;Deutschland;48,97767;11,20193;FRANKEN-SCHOTTER GmbH & Co. KG
22337;Gewerbestrasse 6 - 8;86860;Jengen;Deutschland;48,0039343;10,7225218;Hartmann GmbH
22347;Adlergestell 303;12489;Berlin;Deutschland;52,4301285;13,5508713;OBI GmbH & Co. Deutschland KG
22348;Kufsteiner Straße 118;83064;Raubling;Deutschland;47,76533;12,10602;Sebastian Bauer
22349;ul. Pamiatkowa 12;66300;Miedzyrzecz;Polen;52,3866749;16,915087;P.H.U. Jerzy Gadek
22356;Wolfartsweierer Str. 38;76137;Karlsruhe;Deutschland;48,999428;8,4247437;Hangartner GmbH
22358;Wiesengrund 42;49509;Recke;Deutschland;52,360764;7,6997263;Dräger Palettenhandel GmbH
22361;Geschwister-Scholl-Str. 143c;39218;Schönebeck;Deutschland;52,0244676;11,7302422;PALTrans
22364;Werner-von-Siemens-Str. 17;36041;Fulda;Deutschland;50,5560536;9,5905877;Fuldaer
22365;Innerstetal 2;38685;Langelsheim;Deutschland;51,9315978;10,3231682;Lehnkering GmbH
22367;Gewerbegebiet Brumlingsen;59872;Meschede- Freienohl;Deutschland;51,3957519;8,170753;SKS Design GmbH
22368;Mittelstr. 12 - 14 b;50672;Köln;Deutschland;50,9370592;6,9438199;360° Forwarding Agency GmbH
22376;Rudolf-Diesel-Straße 29-31;59399;Olfen;Deutschland;51,70162;7,38829;W. Beckmann-Transporte GmbH
22377;Stampfenbachstr. 142;8035;Zürich;Schweiz;47,3866524;8,5399257;Holtrade GmbH
22379;Schleefstr. 1 a;44287;Dortmund;Deutschland;51,5025307;7,5694436;arvato logistics services
22382;Am Ostkai 15;70327;Stuttgart;Deutschland;48,7692244;9,2591159;Panopa Logistik GmbH
22384;Seumestraße 5 - 7;28197;Bremen;Deutschland;53,0746834;8,7821252;Paletten-Recycling Bremen GmbH
22385;Im Stadtfelde 8;31515;Wunstorf;Deutschland;52,42256;9,45566;Heuer Transporte GmbH
25692;Erich-Ollenahauer-Str. 25;59192;Bergkamen;Deutschland;51,6172451;7,62376;KN Transporte e.K.
25891;Eisenbahnstraße 7;26683;Saterland;Deutschland;53,07156;7,70588;Theodor Hilwers Transport und Logistik GmbH
28828;Gildemeister Straße 151;33689;Bielefeld;Deutschland;51,9292828;8,5832435;Julius Brune GmbH & Co. KG
28829;Strothbachstr. 14;33689;Bielefeld;Deutschland;51,92795;8,58439;Julius Brune GmbH & Co.
28832;Baeyerstr. 10;24536;Neumünster;Deutschland;54,10221;9,97966;BARTELS-LANGNESS Handelsgesellschaft mbH & Co.KG
28835;Briloner Str. 14;59602;Rüthen;Deutschland;51,4875248;8,4535917;Kleeschulte GmbH & Co.
28836;St.-Primus-Straße 1-5;83313;Siegsdorf/Obb.;Deutschland;47,8125717;12,6127849;Adelholzener Alpenquellen GmbH
28840;Ramsau bei Haag/Obb.;84437;Reichertsheim;Deutschland;48,1724492;12,230858;Bisquolm Spedition GmbH
28841;Grossfeld;6234;Triengen;Schweiz;47,2457044;8,0682665;Rotaform AG
28842;Schillerstraße 51;74248;Ellhofen;Deutschland;49,1499487;9,3078195;Spar Handels AG
28843;Domlerstraße 9;73730;Esslingen;Deutschland;48,7179105;9,3441252;Metro SB-Großmärkte
28844;Johannes-Mejer-Str. 14;72141;Walddorf Häslach;Deutschland;54,49716;9,08374;Kaufmann Neuheiten GmbH
28848;Beimoorweg 11;22926;Ahrensburg;Deutschland;53,6805946;10,250844;Hela Gewürzwerk
28852;Hamburger Straße 99;90451;Nürnberg-Hafen;Deutschland;49,38999;11,05047;ABX Logistik
